year,winter_mean,winter_std,summer_mean,summer_std
1952,-2.770692,1.065687,14.666325,1.128088
1953,-5.116566,3.016217,16.406215,0.913148
1954,-6.226597,4.711928,15.329372,1.236887
1955,-8.276137,2.293563,16.104136,2.578732
1956,-8.378568,4.942095,14.593398,1.387754
1957,-2.661361,0.629378,15.199721,2.217966
1958,-8.130867,1.171363,14.415173,0.799934
1959,-4.219136,1.313822,16.623809,1.151414
1960,-6.493223,4.395594,16.483480,1.216167
1961,-3.025659,1.974394,15.678614,1.160174
1962,-5.221454,1.287768,13.229789,1.065515
1963,-8.288530,2.958645,16.017798,0.869757
1973,-4.371266,1.878960,17.127439,1.986983
1974,-0.900751,1.517130,14.909399,0.573883
1975,-2.066692,0.659368,15.911589,1.679563
1976,-7.124171,2.297342,14.660693,1.262240
1977,-6.386542,2.086430,14.628435,0.218811
1978,-9.985066,3.007269,14.446834,0.662332
1979,-7.451357,2.617948,15.650139,0.574577
1980,-6.695299,2.640601,16.106730,0.935436
1981,-5.416880,0.928388,14.469932,1.532535
1982,-5.417307,4.160948,14.753883,2.330669
1983,-4.083035,2.843090,15.665273,1.738592
1984,-4.011247,1.548735,14.672043,0.524587
1985,-12.369432,4.175063,15.120470,1.205439
1986,-8.851126,1.980187,15.921744,1.519009
1987,-9.844470,5.814601,13.523497,1.299097
1988,-4.299221,1.500515,17.210872,2.114933
1989,-1.605436,2.403150,15.985862,1.277085
1990,-1.240613,2.064049,15.363799,0.691266
1991,-3.493130,2.077077,15.772202,2.058391
1992,-1.059614,1.083393,15.893867,0.753637
1993,-2.469918,0.504912,13.978295,1.606005
1994,-5.806238,5.253327,16.130028,2.906457
1995,-3.847286,3.154781,16.610514,0.670205
1996,-7.105632,2.180292,15.337117,1.730274
1997,-3.557134,0.388767,17.902429,0.926454
1998,-2.718041,1.225675,14.894265,1.058029
1999,-4.894450,2.100690,17.792115,1.649221
2000,-1.275285,1.795102,15.675627,1.012481
2001,-5.690818,2.551623,17.004580,2.570656
2002,-4.177974,3.055199,18.377937,1.419583
2003,-5.508193,3.611109,16.449223,2.968298
2004,-4.179129,2.803041,15.342891,1.662496
2005,-3.349121,1.914440,16.400438,1.965781
2006,-3.506998,5.120298,17.755476,1.108028
2007,-3.429980,4.689418,16.617881,0.817470
2008,0.186627,0.286157,15.466945,1.132331
2009,-4.772999,0.578742,15.772999,1.251905
2010,-10.186892,1.683215,18.296296,3.069805
2011,-5.068698,5.775117,18.328953,1.753225
2012,-6.597248,1.290658,15.600358,1.766226
2013,-2.372419,2.953613,17.622859,0.431610
2014,-3.010966,3.196058,16.943847,2.635268
2015,0.171104,1.639260,15.438272,1.368546
2016,-3.820706,4.536383,16.228594,0.868915
